ID;Requisito;Axioma(s) de Test
WOTDT-1;Un DTw es un ``Thing'' de los WoT Thing Descriptions.;DigitalTwin SubClassOf Thing
WOTDT-2;Un DTw contiene 5 dimensiones.;DigitalTwin SubClassOf hasPhysicalEntity exactly 1 PhysicalEntity and DigitalTwin and SubClassOf hasDigitalEntity min 1 DigitalEntity and DigitalTwin SubClassOf hasConnection some DataServiceConnection
WOTDT-3;La entidad física es una dimensión que representa el activo del mundo real del DTw.;DigitalTwin SubClassOf hasPhysicalEntity exactly 1 PhysicalEntity
WOTDT-4;Un DTw solo puede tener una entidad física, pero nunca menos de una.;DigitalTwin SubClassOf hasPhysicalEntity exactly 1 PhysicalEntity
WOTDT-5;La entidad digital es una dimensión que representa el activo digital del DTw.;DigitalTwin SubClassOf hasDigitalEntity min 1 DigitalEntity
WOTDT-6;La entidad digital contiene las dimensiones de la entidad virtual, los datos y los servicios del DTw.;DigitalEntity SubClassOf hasModel some SemanticModel and DigitalEntity SubClassOf hasModel some RulesModel and DigitalEntity SubClassOf hasModel some GeometricModel and DigitalEntity SubClassOf hasModel some PhysicalModel and DigitalEntity SubClassOf hasModel some BehavioralModel and DigitalEntity SubClassOf hasData min 1 Resource and DigitalEntity SubClassOf containsInteractionAffordance min 1 InteractionAffordance
WOTDT-7;Un DTw puede tener una o varias entidades digitales.;DigitalTwin SubClassOf hasDigitalEntity min 1 DigitalEntity
WOTDT-8;La entidad virtual es una dimensión representada por los diferentes modelos utilizados en el DTw.;DigitalEntity SubClassOf hasModel some SemanticModel and DigitalEntity SubClassOf hasModel some RulesModel and DigitalEntity SubClassOf hasModel some GeometricModel and DigitalEntity SubClassOf hasModel some PhysicalModel and DigitalEntity SubClassOf hasModel some BehavioralModel
WOTDT-9;La entidad virtual puede tener uno o más modelos.;DigitalEntity SubClassOf hasModel some SemanticModel and DigitalEntity SubClassOf hasModel some RulesModel and DigitalEntity SubClassOf hasModel some GeometricModel and DigitalEntity SubClassOf hasModel some PhysicalModel and DigitalEntity SubClassOf hasModel some BehavioralModel
WOTDT-10;¿Qué tipo de modelos pueden ser descritos en la dimensión de la entidad virtual? - Los modelos pueden ser desde reglas, de comportamiento, físicos y geométricos, hasta modelos semánticos como las ontologías.;DigitalEntity SubClassOf hasModel some SemanticModel and DigitalEntity SubClassOf hasModel some RulesModel and DigitalEntity SubClassOf hasModel some GeometricModel and DigitalEntity SubClassOf hasModel some PhysicalModel and DigitalEntity SubClassOf hasModel some BehavioralModel
WOTDT-11;Los modelos pueden tener uno o varios formatos en los que pueden ser representados (p.ej. OWL, RDF/XML, JSON-LD, ...).;Model SubClassOf hasFormat min 1 Format
WOTDT-12;El conjunto de datos del DTw es una dimensión representada por el almacenamiento de todos los datos utilizados en el DTw.;DigitalEntity SubClassOf hasData min 1 Resource
WOTDT-13;La dimensión de datos del DTw puede tener uno o más recursos que pueden ser utilizados para representar diferentes tipos de datos almacenados en el DTw.;DigitalEntity SubClassOf hasData min 1 Resource
WOTDT-14;El conjunto de servicios del DTw es una dimensión representada por los servicios utilizados en el DTw.;DigitalEntity SubClassOf containsInteractionAffordance min 1 InteractionAffordance
WOTDT-15;La dimensión de servicios del DTw pueden tener ``interaction affordances'' perteneciente a los WoT Thing Descriptions para representar los diferentes servicios utilizados en el DTw.;DigitalEntity SubClassOf containsInteractionAffordance min 1 InteractionAffordance
WOTDT-16;El conjunto de conexiones del DTw es una dimensión representada por las conexiones utilizadas entre las dimensiones de un DTw.;DigitalTwin SubClassOf hasConnection some DataServiceConnection and DigitalTwin SubClassOf hasConnection some ModelServiceConnection and DigitalTwin SubClassOf hasConnection some ModelDataConnection and DigitalTwin SubClassOf hasConnection some ModelModelConnection
WOTDT-17;La dimensión de las conexiones del DTw puede tener uno o más conexiones diferentes.;DigitalTwin SubClassOf hasConnection some DataServiceConnection and DigitalTwin SubClassOf hasConnection some ModelServiceConnection and DigitalTwin SubClassOf hasConnection some ModelDataConnection and DigitalTwin SubClassOf hasConnection some ModelModelConnection
WOTDT-18;¿Qué tipo de conexiones puede describir la dimensión de conexiones del DTw? - Las conexiones definidas en la dimensión de conexiones del DTw son descritas con diferentes elementos existentes de otras dimensiones del DTw, tales como modelos, recursos de datos e ``interaction affordances'', y las conexiones con ``things'' tales como otros DTw.;DigitalTwin SubClassOf hasConnection some DataServiceConnection and DigitalTwin SubClassOf hasConnection some ModelServiceConnection and DigitalTwin SubClassOf hasConnection some ModelDataConnection and DigitalTwin SubClassOf hasConnection some ModelModelConnection
WOTDT-19;Las conexiones entre DTws pueden ser representadas como puntos de conexión internos o externos.;ExternalConnectionPoint SubClassOf ConnectionPoint and InternalConnectionPoint SubClassOf ConnectionPoint
WOTDT-20;Las conexiones deben de definir un proveedor de información/recursos y uno o varios consumidores de esta información/recurso.;Connection SubClassOf hasProvider exactly 1 ConnectionPoint and Connection SubClassOf hasConsumer min 1 ConnectionPoint
WOTDT-21;Los modelos, recursos de datos e ``interaction affordances'' contienen un punto de conexión que permite la creación de conexiones por medio de proveedores y consumidores.;No existe un test específico en la suite que valide este requisito para las tres clases.
WOTDT-22;Una instancia de DTw (DTwI) describe un producto físico específico correspondiente al que un DTw individual permanece vinculado durante toda la vida de ese producto físico.;DigitalTwinInstance SubClassOf DigitalTwin
WOTDT-23;Un agregado de DTw (DTwA) describe la agregación de DTwI y DTwA...;DigitalTwinAggregate SubClassOf DigitalTwin and DigitalTwinAggregate SubClassOf aggregateDTwA some DigitalTwinAggregate and DigitalTwinAggregate SubClassOf aggregateDTwI some DigitalTwinInstance
WOTDT-24;Las agregaciones entre los metadatos de los modelos de los DTws pueden representarse en el DTwA resultante dentro de las conexiones entre ellos.;Model SubClassOf modelAggregatedFrom some Model
WOTDT-25;Las agregaciones entre los metadatos de los recursos de datos de los DTws pueden representarse en el DTwA resultante dentro de las conexiones entre ellos.;Resource SubClassOf resourceAggregatedFrom some Resource
